"osm_id","access","addr:housename","addr:housenumber","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","capital","construction","covered","culvert","cutting","denomination","disused","ele","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tunnel","water","waterway","wetland","width","wood","z_order","way"
8945108164,,,,,,,,,,,,,,,,,,,,,,,"1565",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2369195.879914284 5005876.346813134)
8941358563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2369986.2482989165 5006198.8672008645)
8941338110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Бела Вода,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2370201.606985805 5005915.06933155)
8945058381,,,,,,,,,,,,,,,,,,,,,,,"1155",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2370990.439161464 5006566.889583554)
8945058382,,,,,,,,,,,,,,,,,,,,,,,"1486",,,,,,,,,,,,,,,,,Горна Тумба,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2370800.2832072913 5008036.154908865)
8945097458,,,,,,,,,,,,,,,,,,,,,,,"1276",,,,,,,,,,,,,,,,,Долна Тумба,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2371157.307078164 5008853.344853496)
8913073899,,,,,,,,,,,,,,,,,,,,,,,"2006",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2367585.4653687743 5007563.550412142)
8922458914,,,,,,,,,,,,,,,,,,,,,,,"1909",,,,,,,,,,,,,,,,,Црна Стена,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2367574.455871135 5009172.7347610295)
7570281387,,,,,,,,,,,,,,,,,,,,,,,"1885",,,,,,,,,,,,,,,,,Неолица,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2367694.3803585665 5009452.74959145)
3664575460,,,,,,,,,,,,,,,,,,,,,,,"1440",,,,,,,,,,,,,,,,,Неолица,,,, ПД „Ѓорѓи Наумов“ - Битола,,,,,,,,,,,,,,,alpine_hut,,,,,,,,,POINT (2369025.549961421 5011098.703785213)
